타임스탬프,"리뷰 1

핸드폰과 카드 약간의 현금 넣을수있어요~안경까지들어가면 정말 좋겠다했는데 핸드폰케이스를 안씌워서그런지 작은안경까지 넣을수있네요 ~ㅎ 좀 빡빡하긴 하지만 좋아요 가죽도 부드러워 맘에들어요","리뷰 2

코트 걸기 좋아요. 어깨 모양때문에 두꺼운 옷걸이에 걸어 뒀었는데 이 옷 걸이로 바꾸고 옷장안이 여유가 생겼어요.","리뷰 3

쓰기는편하고좋아요~배송도 빨라요. 향균처리가 되있어서 받은거 세탁안하셔도 될듯해요~ 받자마자 세탁했더니 광택이 좀빠지고 구김이 갔네요ㅠㅠ","리뷰 4

좋아요 다른 인스타 공구마켓들보다 훨씬 저렴하게샀어요!다른데는 공구인데도 왜케 비싼지 모르겠네요ㅠㅠㅠㅠ자주이용할꼐요~~!!","리뷰 5

매우 만족합니다 다만 유리에 검은게 얼룩덜룩 묻어서 지워지지 않네요 ㅜㅜ 그냥 쓰려구여","리뷰 6

가정용 사다리로는 최고 같습니다. 몸무게가 많이 나가는 사람에게는 다소 약해 보이기도 합니다. 80kg은 안전하네요.","리뷰 7

맛있어요 모양과 크기는 무지 좋은데 맛과종류를 잘모르겠어요 맛은 호박고구마 맛도 아니고 밤고매도 아닌것이 애매모합니다","리뷰 8

우와~ 이정도는 아니예요..평타는 되네요!","리뷰 9

이쁘고 깔끔하긴한데 마무리가.. 깨끗이 완벽하게 아무리하려도해도 힘드네요 ㅜㅜ 온갖 도구 다 사다날랏네요ㅜㅜ","리뷰 10

생각보다 엄청 무겁네요. 반지를 끼고있는데 처음 설거지하다가 기스가 났어요.ㅠ 막 쓰기엔 좀 불편할듯해요 무겁기도하고","리뷰 11

오자마자 깨끗이 닦아 물 끓이는데 물 끓이는 속도가 느린거 같아요~ 인덕션용이라해서 구매했고 자석 붙는거 까지 확인했는데~ 잘 못 구매한건가 생각함요~","리뷰 12

이쁜데 고무가 너무 잘빠짐 싸구려티나요 많이 안경 끝 귀거는쪽 고무도 그냥 숙숙 빠지고 무겁고 안경너무 작아요 남잔데 알굴작은편인데도요"
2024. 5. 25 오후 4:34:06,2,8,5,2,5,7,6,1,2,5,6,4
2024. 5. 25 오후 4:34:07,6,9,4,3,3,5,3,5,3,2,2,3
2024. 5. 25 오후 4:34:58,4,10,9,10,4,8,5,4,0,0,0,0
2024. 5. 25 오후 4:35:06,8,8,6,8,7,8,6,5,4,2,1,2
2024. 5. 25 오후 4:36:51,6,7,5,7,6,6,6,5,4,3,3,5
2024. 5. 25 오후 4:37:17,7,8,7,6,7,6,2,5,4,3,3,3
2024. 5. 25 오후 4:38:31,8,8,4,8,6,8,7,5,4,2,2,2
2024. 5. 25 오후 4:40:02,6,8,6,8,5,7,5,5,5,2,2,2
2024. 5. 25 오후 4:41:01,8,10,7,10,8,8,4,5,2,0,0,2
2024. 5. 25 오후 4:43:36,7,8,6,9,6,7,5,7,2,2,4,1
2024. 5. 25 오후 4:43:57,8,10,5,10,3,9,4,5,4,2,1,1
2024. 5. 25 오후 4:47:58,7,3,8,8,9,5,5,7,8,7,2,5
2024. 5. 25 오후 4:49:16,6,7,2,8,3,4,4,4,3,2,1,2
2024. 5. 25 오후 4:49:35,6,10,10,3,5,7,3,3,3,6,7,7
2024. 5. 25 오후 4:59:27,9,10,8,10,9,8,6,5,5,3,4,3
2024. 5. 25 오후 5:00:42,8,9,6,6,5,5,3,3,2,1,1,1
2024. 5. 25 오후 5:01:33,3,8,2,8,0,6,5,3,0,4,1,0
2024. 5. 25 오후 5:06:20,5,10,4,10,3,7,2,4,1,0,0,0
2024. 5. 25 오후 5:07:27,5,7,4,8,2,6,3,1,1,1,2,0
2024. 5. 25 오후 5:07:34,7,10,5,9,4,5,4,5,1,2,1,0
2024. 5. 25 오후 5:15:06,8,10,10,9,6,10,6,5,3,6,5,5
2024. 5. 25 오후 5:15:30,7,9,6,9,5,7,6,5,6,4,6,4
2024. 5. 25 오후 5:16:12,6,9,3,7,2,8,3,2,1,0,0,0
2024. 5. 25 오후 5:22:52,10,10,6,10,4,8,5,4,3,2,1,3
2024. 5. 25 오후 5:27:45,10,10,7,5,5,5,3,3,1,0,0,0
2024. 5. 25 오후 5:28:41,4,6,7,2,6,8,5,3,6,8,4,7
2024. 5. 25 오후 5:36:25,5,8,5,8,3,7,7,5,5,3,3,2
2024. 5. 25 오후 5:38:18,9,8,5,7,6,8,6,5,4,2,2,1
2024. 5. 25 오후 5:40:52,7,9,6,7,6,7,7,7,6,2,0,0
2024. 5. 25 오후 5:53:36,8,10,6,10,5,6,4,4,2,1,0,1
2024. 5. 25 오후 5:56:46,9,10,7,10,7,8,6,5,4,3,1,0
2024. 5. 25 오후 5:57:53,7,6,4,3,4,7,5,4,6,7,4,4
2024. 5. 25 오후 6:09:04,9,10,7,10,6,9,6,6,3,1,3,1
2024. 5. 25 오후 6:17:45,7,9,6,9,6,8,3,6,4,2,3,4
2024. 5. 25 오후 7:14:24,10,6,7,6,5,8,7,5,6,5,7,4
2024. 5. 25 오후 7:15:07,7,7,3,10,3,6,6,6,3,1,0,1
2024. 5. 25 오후 7:28:04,8,10,4,10,6,6,3,6,2,5,2,2
2024. 5. 25 오후 8:14:17,7,9,6,10,10,6,4,3,3,2,2,0
2024. 5. 25 오후 8:59:02,10,10,10,10,7,10,6,5,6,4,0,0
2024. 5. 25 오후 9:00:11,8,9,6,8,4,8,5,4,3,2,2,2
2024. 5. 25 오후 9:03:30,9,7,6,4,3,7,6,1,5,6,6,6
2024. 5. 25 오후 10:24:41,6,7,5,5,3,5,6,2,1,1,2,3
2024. 5. 25 오후 11:28:40,7,7,4,5,5,8,5,4,3,5,5,3
2024. 5. 26 오전 12:41:31,6,8,5,7,6,8,6,6,3,2,3,1
2024. 5. 26 오전 1:32:31,8,5,4,1,2,10,7,2,1,1,5,6
2024. 5. 26 오전 1:38:18,6,9,6,10,8,10,5,3,3,2,2,1
2024. 5. 26 오전 9:46:24,8,10,7,10,7,9,5,4,1,0,0,0
2024. 5. 26 오전 11:52:15,7,7,5,6,5,5,4,3,4,3,2,2
2024. 5. 26 오후 12:18:28,7,8,5,6,4,8,6,3,2,1,2,0
2024. 5. 27 오후 4:50:31,8,8,7,9,6,6,5,4,4,2,3,0
2024. 5. 28 오후 3:50:17,8,10,6,10,8,8,5,6,6,3,4,1
2024. 5. 28 오후 3:51:21,4,9,7,9,8,7,4,4,3,1,1,2
평균,7.04,8.42,5.79,7.56,5.21,7.17,4.90,4.27,3.29,2.62,2.37,2.10
중위수,3,8.5,6,5.5,6.5,7,5,2.5,2.5,3,3.5,3
분산,2,0.5,2,24.5,4.5,0,2,4.5,0.5,8,12.5,2
표준편차,1.41,0.71,1.41,4.95,2.12,0.00,1.41,2.12,0.71,2.83,3.54,1.41
범위 (최대-최소),2,1,2,7,3,0,2,3,1,4,5,2
사분위수 최소,2,3,2,1,0,4,2,1,0,0,0,0
사분위수 25,6,7.75,5,6,4,6,4,3,2,1,1,0
사분위수 50,7,9,6,8,5,7,5,4.5,3,2,2,2
사분위수 75,8,10,7,10,6,8,6,5,4,3.25,3.25,3
사분위수 최대,10,10,10,10,10,10,7,7,8,8,7,7
우리 감성 점수,9.16,9.31,8.78,8.65,6.89,6.79,6.42,5.42,4.88,3.26,3.72,0
편차 (관측값-평균),2.13,0.88,3.00,1.09,1.68,-0.38,1.52,1.16,1.59,0.64,1.36,-2.10
편차 제곱,4.52,0.78,8.97,1.20,2.82,0.15,2.31,1.34,2.52,0.41,1.84,4.39
분산,4.46,,,,,,,,,,,
표준편차,2.11,,,,,,,,,,,